Time,0.2,0.7,1.7,2.45,2.8,3.15,3.6,4.05,4.5,5,5.6,6.7,8,9.5,11.1,13.5,16,18,19.6
1999-12-05 00:00:00,,-1.6,-0.18,-0.06,-0.01,-0.02,0,,-0.01,,,-0.04,,,-0.15,,,,
1999-12-06 00:00:00,,-1.68,-0.25,-0.04,-0.01,-0.02,0.01,,-0.01,,,-0.04,,,-0.15,,,,
1999-12-07 00:00:00,,-1.86,-0.26,-0.03,0,-0.02,0,,-0.01,,,-0.05,,,-0.15,,,,
1999-12-08 00:00:00,,-1.87,-0.25,-0.06,-0.01,-0.02,0,,-0.01,,,-0.05,,,-0.15,,,,
1999-12-09 00:00:00,,-1.61,-0.24,-0.06,-0.03,-0.02,0,,-0.01,,,-0.04,,,-0.15,,,,
1999-12-10 00:00:00,,-1.43,-0.26,-0.07,-0.03,-0.04,0,,-0.02,,,-0.05,,,-0.16,,,,
1999-12-11 00:00:00,,-1.47,-0.27,-0.06,-0.03,-0.01,0,,-0.02,,,-0.05,,,-0.16,,,,
1999-12-12 00:00:00,,-1.32,-0.25,-0.05,-0.02,-0.02,0,,-0.02,,,-0.05,,,-0.16,,,,
1999-12-13 00:00:00,,-1.22,-0.27,-0.03,0,0,0,,-0.02,,,-0.04,,,-0.17,,,,
1999-12-14 00:00:00,,-1.14,-0.26,-0.03,-0.01,-0.01,0,,-0.01,,,-0.04,,,-0.16,,,,
1999-12-15 00:00:00,,-1.04,-0.25,-0.03,0,-0.02,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-16 00:00:00,,-0.97,-0.27,-0.04,0,-0.02,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-17 00:00:00,,-1.01,-0.31,-0.06,-0.02,-0.02,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-18 00:00:00,,-1.05,-0.29,-0.04,-0.01,-0.02,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-19 00:00:00,,-0.98,-0.28,-0.04,-0.01,-0.01,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-20 00:00:00,,-0.95,-0.31,-0.08,-0.03,-0.04,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-21 00:00:00,,-0.96,-0.33,-0.07,-0.03,-0.04,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-22 00:00:00,,-1.02,-0.36,-0.05,-0.03,-0.02,0,,-0.02,,,-0.04,,,-0.17,,,,
1999-12-23 00:00:00,,-1.02,-0.33,-0.05,0,-0.02,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-24 00:00:00,,-1.04,-0.33,-0.04,0,-0.01,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-25 00:00:00,,-1.06,-0.35,-0.06,-0.04,-0.03,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-26 00:00:00,,-1.04,-0.36,-0.06,-0.04,-0.02,-0.01,,-0.03,,,-0.05,,,-0.17,,,,
1999-12-27 00:00:00,,-1,-0.36,-0.07,-0.05,-0.03,0,,-0.03,,,-0.05,,,-0.17,,,,
1999-12-28 00:00:00,,-0.96,-0.36,-0.07,-0.04,-0.03,0,,-0.02,,,-0.04,,,-0.16,,,,
1999-12-29 00:00:00,,-0.92,-0.35,-0.06,-0.05,-0.02,0,,-0.03,,,-0.04,,,-0.17,,,,
1999-12-30 00:00:00,,-0.9,-0.36,-0.07,-0.05,-0.03,-0.01,,-0.03,,,-0.04,,,-0.17,,,,
1999-12-31 00:00:00,,-0.91,-0.36,-0.07,-0.05,-0.03,0,,-0.03,,,-0.04,,,-0.17,,,,
2000-01-01 00:00:00,,-0.93,-0.37,-0.05,-0.01,-0.02,-0.01,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-02 00:00:00,,-1,-0.4,-0.06,-0.01,-0.01,-0.01,,-0.02,,,-0.04,,,-0.17,,,,
2000-01-03 00:00:00,,-1.07,-0.42,-0.08,-0.03,-0.04,0,,-0.02,,,-0.04,,,-0.16,,,,
2000-01-04 00:00:00,,-1.06,-0.43,-0.06,-0.01,-0.02,-0.01,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-05 00:00:00,,-1.12,-0.47,-0.09,-0.03,-0.03,-0.01,,-0.02,,,-0.04,,,-0.17,,,,
2000-01-06 00:00:00,,-1.1,-0.46,-0.08,-0.01,-0.02,-0.01,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-07 00:00:00,,-1.1,-0.45,-0.08,-0.04,-0.02,0,,-0.02,,,-0.04,,,-0.16,,,,
2000-01-08 00:00:00,,-1.08,-0.45,-0.09,-0.03,-0.02,-0.01,,-0.02,,,-0.04,,,-0.16,,,,
2000-01-09 00:00:00,,-1.06,-0.46,-0.11,-0.04,-0.03,-0.01,,-0.02,,,-0.04,,,-0.17,,,,
2000-01-10 00:00:00,,-1.04,-0.47,-0.09,-0.02,-0.03,-0.01,,-0.03,,,-0.04,,,-0.17,,,,
2000-01-11 00:00:00,,-1.02,-0.46,-0.1,-0.01,-0.03,-0.01,,-0.03,,,-0.05,,,-0.16,,,,
2000-01-12 00:00:00,,-1,-0.46,-0.1,-0.03,-0.03,-0.01,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-13 00:00:00,,-0.99,-0.46,-0.13,-0.03,-0.02,-0.02,,-0.03,,,-0.04,,,-0.18,,,,
2000-01-14 00:00:00,,-1,-0.46,-0.13,-0.03,-0.03,-0.02,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-15 00:00:00,,-1,-0.46,-0.13,-0.03,-0.03,-0.02,,-0.03,,,-0.04,,,-0.17,,,,
2000-01-16 00:00:00,,-1.02,-0.46,-0.13,-0.03,-0.03,-0.03,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-17 00:00:00,,-1.04,-0.47,-0.13,-0.04,-0.03,-0.02,,-0.03,,,-0.04,,,-0.17,,,,
2000-01-18 00:00:00,,-1.02,-0.47,-0.15,-0.03,-0.03,-0.02,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-19 00:00:00,,-1.01,-0.46,-0.14,-0.02,-0.03,-0.01,,-0.02,,,-0.04,,,-0.16,,,,
2000-01-20 00:00:00,,-1.03,-0.47,-0.15,-0.03,-0.04,-0.02,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-21 00:00:00,,-1.01,-0.47,-0.15,-0.02,-0.03,-0.02,,-0.03,,,-0.05,,,-0.17,,,,
2000-01-22 00:00:00,,-0.97,-0.45,-0.15,-0.02,-0.04,-0.02,,-0.02,,,-0.05,,,-0.16,,,,
